agent_type,cat_attack,temp,round,score
multi,True,0.25,0,0.489
multi,True,0.25,1,0.611
multi,True,0.25,2,0.622
multi,True,0.25,0,0.478
multi,True,0.25,1,0.589
multi,True,0.25,2,0.556
multi,True,0.25,0,0.5
multi,True,0.25,1,0.556
multi,True,0.25,2,0.7
multi,True,0.25,0,0.511
multi,True,0.25,1,0.578
multi,True,0.25,2,0.511
multi,True,0.25,0,0.578
multi,True,0.25,1,0.611
multi,True,0.25,2,0.633
multi,False,0.25,0,0.478
multi,False,0.25,1,0.533
multi,False,0.25,2,0.533
multi,False,0.25,0,0.489
multi,False,0.25,1,0.545
multi,False,0.25,2,0.422
multi,False,0.25,0,0.456
multi,False,0.25,1,0.6
multi,False,0.25,2,0.556
multi,False,0.25,0,0.511
multi,False,0.25,1,0.6
multi,False,0.25,2,0.667
multi,False,0.25,0,0.467
multi,False,0.25,1,0.656
multi,False,0.25,2,0.622
single,True,0.25,0,0.6
single,True,0.25,1,0.5
single,True,0.25,2,0.433
single,True,0.25,0,0.567
single,True,0.25,1,0.533
single,True,0.25,2,0.367
single,True,0.25,0,0.533
single,True,0.25,1,0.7
single,True,0.25,2,0.733
single,True,0.25,0,0.5
single,True,0.25,1,0.567
single,True,0.25,2,0.433
single,True,0.25,0,0.533
single,True,0.25,1,0.567
single,True,0.25,2,0.467
single,False,0.25,0,0.5
single,False,0.25,1,0.433
single,False,0.25,2,0.433
single,False,0.25,0,0.5
single,False,0.25,1,0.533
single,False,0.25,2,0.4
single,False,0.25,0,0.467
single,False,0.25,1,0.633
single,False,0.25,2,0.7
single,False,0.25,0,0.467
single,False,0.25,1,0.633
single,False,0.25,2,0.367
single,False,0.25,0,0.467
single,False,0.25,1,0.667
single,False,0.25,2,0.4
multi,True,0.0,0,0.544
multi,True,0.0,1,0.589
multi,True,0.0,2,0.556
multi,True,0.0,0,0.578
multi,True,0.0,1,0.633
multi,True,0.0,2,0.478
multi,True,0.0,0,0.534
multi,True,0.0,1,0.555
multi,True,0.0,2,0.5
multi,True,0.0,0,0.555
multi,True,0.0,1,0.533
multi,True,0.0,2,0.589
multi,True,0.0,0,0.511
multi,True,0.0,1,0.644
multi,True,0.0,2,0.456
multi,False,0.0,0,0.467
multi,False,0.0,1,0.544
multi,False,0.0,2,0.467
multi,False,0.0,0,0.511
multi,False,0.0,1,0.522
multi,False,0.0,2,0.567
multi,False,0.0,0,0.467
multi,False,0.0,1,0.611
multi,False,0.0,2,0.4
multi,False,0.0,0,0.467
multi,False,0.0,1,0.567
multi,False,0.0,2,0.478
multi,False,0.0,0,0.445
multi,False,0.0,1,0.467
multi,False,0.0,2,0.444
multi,True,0.5,0,0.544
multi,True,0.5,1,0.666
multi,True,0.5,2,0.645
multi,True,0.5,0,0.566
multi,True,0.5,1,0.678
multi,True,0.5,2,0.644
multi,True,0.5,0,0.544
multi,True,0.5,1,0.633
multi,True,0.5,2,0.456
multi,True,0.5,0,0.522
multi,True,0.5,1,0.656
multi,True,0.5,2,0.589
multi,True,0.5,0,0.545
multi,True,0.5,1,0.678
multi,True,0.5,2,0.611
multi,False,0.5,0,0.456
multi,False,0.5,1,0.644
multi,False,0.5,2,0.467
multi,False,0.5,0,0.445
multi,False,0.5,1,0.589
multi,False,0.5,2,0.422
multi,False,0.5,0,0.433
multi,False,0.5,1,0.533
multi,False,0.5,2,0.589
multi,False,0.5,0,0.433
multi,False,0.5,1,0.578
multi,False,0.5,2,0.478
multi,False,0.5,0,0.522
multi,False,0.5,1,0.545
multi,False,0.5,2,0.578
multi,True,0.75,0,0.489
multi,True,0.75,1,0.622
multi,True,0.75,2,0.633
multi,True,0.75,0,0.511
multi,True,0.75,1,0.555
multi,True,0.75,2,0.644
multi,True,0.75,0,0.511
multi,True,0.75,1,0.633
multi,True,0.75,2,0.589
multi,True,0.75,0,0.511
multi,True,0.75,1,0.745
multi,True,0.75,2,0.6
multi,True,0.75,0,0.478
multi,True,0.75,1,0.6
multi,True,0.75,2,0.5
multi,False,0.75,0,0.378
multi,False,0.75,1,0.567
multi,False,0.75,2,0.544
multi,False,0.75,0,0.433
multi,False,0.75,1,0.533
multi,False,0.75,2,0.455
multi,False,0.75,0,0.478
multi,False,0.75,1,0.434
multi,False,0.75,2,0.611
multi,False,0.75,0,0.456
multi,False,0.75,1,0.578
multi,False,0.75,2,0.522
multi,False,0.75,0,0.478
multi,False,0.75,1,0.689
multi,False,0.75,2,0.522
multi,True,1.0,0,0.456
multi,True,1.0,1,0.656
multi,True,1.0,2,0.522
multi,True,1.0,0,0.533
multi,True,1.0,1,0.656
multi,True,1.0,2,0.478
multi,True,1.0,0,0.511
multi,True,1.0,1,0.534
multi,True,1.0,2,0.511
multi,True,1.0,0,0.444
multi,True,1.0,1,0.767
multi,True,1.0,2,0.5
multi,True,1.0,0,0.478
multi,True,1.0,1,0.611
multi,True,1.0,2,0.556
multi,False,1.0,0,0.478
multi,False,1.0,1,0.589
multi,False,1.0,2,0.656
multi,False,1.0,0,0.422
multi,False,1.0,1,0.7
multi,False,1.0,2,0.6
multi,False,1.0,0,0.511
multi,False,1.0,1,0.567
multi,False,1.0,2,0.522
multi,False,1.0,0,0.444
multi,False,1.0,1,0.655
multi,False,1.0,2,0.533
multi,False,1.0,0,0.467
multi,False,1.0,1,0.689
multi,False,1.0,2,0.467
single,True,0.0,0,0.567
single,True,0.0,1,0.567
single,True,0.0,2,0.567
single,True,0.0,0,0.6
single,True,0.0,1,0.533
single,True,0.0,2,0.567
single,True,0.0,0,0.5
single,True,0.0,1,0.567
single,True,0.0,2,0.567
single,True,0.0,0,0.533
single,True,0.0,1,0.667
single,True,0.0,2,0.533
single,True,0.0,0,0.6
single,True,0.0,1,0.567
single,True,0.0,2,0.467
single,False,0.0,0,0.5
single,False,0.0,1,0.567
single,False,0.0,2,0.5
single,False,0.0,0,0.467
single,False,0.0,1,0.533
single,False,0.0,2,0.4
single,False,0.0,0,0.467
single,False,0.0,1,0.567
single,False,0.0,2,0.4
single,False,0.0,0,0.467
single,False,0.0,1,0.6
single,False,0.0,2,0.533
single,False,0.0,0,0.467
single,False,0.0,1,0.533
single,False,0.0,2,0.367
single,True,0.5,0,0.467
single,True,0.5,1,0.7
single,True,0.5,2,0.5
single,True,0.5,0,0.533
single,True,0.5,1,0.633
single,True,0.5,2,0.567
single,True,0.5,0,0.567
single,True,0.5,1,0.6
single,True,0.5,2,0.533
single,True,0.5,0,0.5
single,True,0.5,1,0.733
single,True,0.5,2,0.633
single,True,0.5,0,0.567
single,True,0.5,1,0.567
single,True,0.5,2,0.4
single,False,0.5,0,0.5
single,False,0.5,1,0.5
single,False,0.5,2,0.4
single,False,0.5,0,0.467
single,False,0.5,1,0.567
single,False,0.5,2,0.4
single,False,0.5,0,0.467
single,False,0.5,1,0.633
single,False,0.5,2,0.367
single,False,0.5,0,0.5
single,False,0.5,1,0.467
single,False,0.5,2,0.6
single,False,0.5,0,0.5
single,False,0.5,1,0.667
single,False,0.5,2,0.4
single,True,0.75,0,0.433
single,True,0.75,1,0.7
single,True,0.75,2,0.533
single,True,0.75,0,0.667
single,True,0.75,1,0.767
single,True,0.75,2,0.567
single,True,0.75,0,0.5
single,True,0.75,1,0.6
single,True,0.75,2,0.6
single,True,0.75,0,0.533
single,True,0.75,1,0.567
single,True,0.75,2,0.567
single,True,0.75,0,0.5
single,True,0.75,1,0.567
single,True,0.75,2,0.433
single,False,0.75,0,0.533
single,False,0.75,1,0.467
single,False,0.75,2,0.467
