agent_type,cat_attack,temp,round,mean,std
multi,True,0.25,0,0.511,0.035
multi,True,0.25,1,0.589,0.021
multi,True,0.25,2,0.604,0.065
multi,False,0.25,0,0.48,0.019
multi,False,0.25,1,0.587,0.044
multi,False,0.25,2,0.56,0.084
single,True,0.25,0,0.547,0.034
single,True,0.25,1,0.573,0.068
single,True,0.25,2,0.487,0.127
single,False,0.25,0,0.48,0.016
single,False,0.25,1,0.58,0.086
single,False,0.25,2,0.46,0.122
multi,True,0.0,0,0.544,0.022
multi,True,0.0,1,0.591,0.043
multi,True,0.0,2,0.516,0.049
multi,False,0.0,0,0.471,0.022
multi,False,0.0,1,0.542,0.048
multi,False,0.0,2,0.471,0.055
multi,True,0.5,0,0.544,0.014
multi,True,0.5,1,0.662,0.017
multi,True,0.5,2,0.589,0.07
multi,False,0.5,0,0.458,0.033
multi,False,0.5,1,0.578,0.039
multi,False,0.5,2,0.507,0.065
multi,True,0.75,0,0.5,0.014
multi,True,0.75,1,0.631,0.063
multi,True,0.75,2,0.593,0.051
multi,False,0.75,0,0.444,0.037
multi,False,0.75,1,0.56,0.082
multi,False,0.75,2,0.531,0.05
multi,True,1.0,0,0.484,0.033
multi,True,1.0,1,0.645,0.076
multi,True,1.0,2,0.513,0.026
multi,False,1.0,0,0.464,0.03
multi,False,1.0,1,0.64,0.053
multi,False,1.0,2,0.556,0.066
single,True,0.0,0,0.56,0.039
single,True,0.0,1,0.58,0.045
single,True,0.0,2,0.54,0.039
single,False,0.0,0,0.474,0.013
single,False,0.0,1,0.56,0.025
single,False,0.0,2,0.44,0.064
single,True,0.5,0,0.527,0.039
single,True,0.5,1,0.647,0.062
single,True,0.5,2,0.527,0.077
single,False,0.5,0,0.487,0.016
single,False,0.5,1,0.567,0.076
single,False,0.5,2,0.433,0.084
single,True,0.75,0,0.527,0.077
single,True,0.75,1,0.64,0.08
single,True,0.75,2,0.54,0.058
single,False,0.75,0,0.48,0.034
single,False,0.75,1,0.533,0.047
single,False,0.75,2,0.453,0.069
single,True,1.0,0,0.44,0.044
single,True,1.0,1,0.68,0.058
single,True,1.0,2,0.633,0.123
single,False,1.0,0,0.44,0.044
single,False,1.0,1,0.573,0.074
single,False,1.0,2,0.587,0.078
